box,x,y
1,6.84,3.54
2,6.76,2.6
3,4.24,2.84
4,4.9,3.72
5,3.85,4.06
6,2.89,4.68
7,2.72,2.9
8,1.96,4.89
9,0.76,5.22
10,0.78,3.95
11,1.63,2.69
12,0.47,2.09
13,1.18,1.75
14,2.07,1.86
15,1.56,0.98
16,2.46,0.88
17,3.74,1.33
18,4.7,0.68
19,6.54,1.9
20,7.03,1.27
21,12.48,5
22,11.44,5.48
23,10.61,4.64
24,9.92,4.96
25,9.26,5.4
26,9.63,4.62
27,9.47,3.6
28,9.85,2.7
29,7.63,3.74
30,8.25,2.94
31,7.67,1.91
32,8,1.22
33,8.82,2.1
34,9.7,1.95
35,11,1.86
36,12.03,1.27
37,12.07,2.31
38,11.13,2.83
39,10.66,3.24
40,12.22,3.94
